WWGI/BWA_VA_STD_ERR,Voice and Accountability; Standard Error - Botswana
WWGI/BWA_VA_PER_RNK,Voice and Accountability; Percentile Rank - Botswana
WWGI/CAF_CC_EST,Control of Corruption; Estimate - Central African Republic
WWGI/CAF_CC_NO_SRC,Control of Corruption; Number of Sources - Central African Republic
WWGI/CAF_CC_PER_RNK,Control of Corruption; Percentile Rank - Central African Republic
WWGI/CAF_CC_STD_ERR,Control of Corruption; Standard Error - Central African Republic
WWGI/CAF_GE_EST,Government Effectiveness; Estimate - Central African Republic
WWGI/CAF_GE_PER_RNK,Government Effectiveness; Percentile Rank - Central African Republic
WWGI/CAF_GE_NO_SRC,Government Effectiveness; Number of Sources - Central African Republic
WWGI/CAF_GE_STD_ERR,Government Effectiveness; Standard Error - Central African Republic
WWGI/BWA_RL_PER_RNK,Rule of Law; Percentile Rank - Botswana
WWGI/CAF_PV_EST,Political Stability and Absence of Violence/Terrorism; Estimate - Central African Republic
WWGI/CAF_PV_NO_SRC,Political Stability and Absence of Violence/Terrorism; Number of Sources - Central African Republic
WWGI/CAF_PV_PER_RNK,Political Stability and Absence of Violence/Terrorism; Percentile Rank - Central African Republic
WWGI/CAF_PV_STD_ERR,Political Stability and Absence of Violence/Terrorism; Standard Error - Central African Republic
WWGI/CAF_RQ_PER_RNK,Regulatory Quality; Percentile Rank - Central African Republic
WWGI/CAF_RQ_EST,Regulatory Quality; Estimate - Central African Republic
WWGI/CAF_RQ_NO_SRC,Regulatory Quality; Number of Sources - Central African Republic
WWGI/CAF_RQ_STD_ERR,Regulatory Quality; Standard Error - Central African Republic
WWGI/CAF_RL_EST,Rule of Law; Estimate - Central African Republic
WWGI/CAF_RL_NO_SRC,Rule of Law; Number of Sources - Central African Republic
WWGI/CAF_RL_STD_ERR,Rule of Law; Standard Error - Central African Republic
WWGI/CAF_VA_EST,Voice and Accountability; Estimate - Central African Republic
WWGI/CAF_RL_PER_RNK,Rule of Law; Percentile Rank - Central African Republic
WWGI/CAF_VA_PER_RNK,Voice and Accountability; Percentile Rank - Central African Republic
WWGI/CAF_VA_STD_ERR,Voice and Accountability; Standard Error - Central African Republic
WWGI/CAF_VA_NO_SRC,Voice and Accountability; Number of Sources - Central African Republic
WWGI/CAN_CC_EST,Control of Corruption; Estimate - Canada
WWGI/CAN_CC_PER_RNK,Control of Corruption; Percentile Rank - Canada
WWGI/CAN_CC_STD_ERR,Control of Corruption; Standard Error - Canada
WWGI/CAN_GE_NO_SRC,Government Effectiveness; Number of Sources - Canada
WWGI/CAN_GE_EST,Government Effectiveness; Estimate - Canada
WWGI/CAN_GE_PER_RNK,Government Effectiveness; Percentile Rank - Canada
WWGI/CAN_GE_STD_ERR,Government Effectiveness; Standard Error - Canada
WWGI/CAN_PV_EST,Political Stability and Absence of Violence/Terrorism; Estimate - Canada
WWGI/CAN_PV_NO_SRC,Political Stability and Absence of Violence/Terrorism; Number of Sources - Canada
WWGI/CAN_PV_PER_RNK,Political Stability and Absence of Violence/Terrorism; Percentile Rank - Canada
WWGI/CAN_CC_NO_SRC,Control of Corruption; Number of Sources - Canada
WWGI/CAN_PV_STD_ERR,Political Stability and Absence of Violence/Terrorism; Standard Error - Canada
WWGI/CAN_RQ_EST,Regulatory Quality; Estimate - Canada
WWGI/CAN_RQ_NO_SRC,Regulatory Quality; Number of Sources - Canada
WWGI/CAN_RQ_PER_RNK,Regulatory Quality; Percentile Rank - Canada
WWGI/CAN_RQ_STD_ERR,Regulatory Quality; Standard Error - Canada
WWGI/CAN_RL_EST,Rule of Law; Estimate - Canada
WWGI/CAN_RL_NO_SRC,Rule of Law; Number of Sources - Canada
WWGI/CAN_RL_PER_RNK,Rule of Law; Percentile Rank - Canada
WWGI/CAN_VA_EST,Voice and Accountability; Estimate - Canada
WWGI/CAN_VA_NO_SRC,Voice and Accountability; Number of Sources - Canada
WWGI/CAN_RL_STD_ERR,Rule of Law; Standard Error - Canada
WWGI/CAN_VA_STD_ERR,Voice and Accountability; Standard Error - Canada
WWGI/CAN_VA_PER_RNK,Voice and Accountability; Percentile Rank - Canada
WWGI/CHE_CC_EST,Control of Corruption; Estimate - Switzerland
WWGI/CHE_CC_NO_SRC,Control of Corruption; Number of Sources - Switzerland
WWGI/CHE_CC_PER_RNK,Control of Corruption; Percentile Rank - Switzerland
WWGI/CHE_CC_STD_ERR,Control of Corruption; Standard Error - Switzerland
WWGI/CHE_GE_EST,Government Effectiveness; Estimate - Switzerland
WWGI/CHE_GE_NO_SRC,Government Effectiveness; Number of Sources - Switzerland
WWGI/CHE_GE_PER_RNK,Government Effectiveness; Percentile Rank - Switzerland
WWGI/CHE_PV_EST,Political Stability and Absence of Violence/Terrorism; Estimate - Switzerland
WWGI/CHE_GE_STD_ERR,Government Effectiveness; Standard Error - Switzerland
WWGI/CHE_PV_NO_SRC,Political Stability and Absence of Violence/Terrorism; Number of Sources - Switzerland
WWGI/CHE_PV_PER_RNK,Political Stability and Absence of Violence/Terrorism; Percentile Rank - Switzerland
WWGI/CHE_PV_STD_ERR,Political Stability and Absence of Violence/Terrorism; Standard Error - Switzerland
WWGI/CHE_RQ_PER_RNK,Regulatory Quality; Percentile Rank - Switzerland
WWGI/CHE_RQ_NO_SRC,Regulatory Quality; Number of Sources - Switzerland
WWGI/CHE_RQ_EST,Regulatory Quality; Estimate - Switzerland
WWGI/CHE_RQ_STD_ERR,Regulatory Quality; Standard Error - Switzerland
WWGI/CHE_RL_EST,Rule of Law; Estimate - Switzerland
WWGI/CHE_RL_NO_SRC,Rule of Law; Number of Sources - Switzerland
WWGI/CHE_RL_PER_RNK,Rule of Law; Percentile Rank - Switzerland
WWGI/CHE_RL_STD_ERR,Rule of Law; Standard Error - Switzerland
WWGI/CHE_VA_EST,Voice and Accountability; Estimate - Switzerland
WWGI/CHE_VA_PER_RNK,Voice and Accountability; Percentile Rank - Switzerland
WWGI/CHE_VA_NO_SRC,Voice and Accountability; Number of Sources - Switzerland
WWGI/CHE_VA_STD_ERR,Voice and Accountability; Standard Error - Switzerland
WWGI/CHL_CC_EST,Control of Corruption; Estimate - Chile
WWGI/CHL_CC_NO_SRC,Control of Corruption; Number of Sources - Chile
WWGI/CHL_CC_PER_RNK,Control of Corruption; Percentile Rank - Chile
WWGI/CHL_GE_EST,Government Effectiveness; Estimate - Chile
WWGI/CHL_CC_STD_ERR,Control of Corruption; Standard Error - Chile
WWGI/CHL_GE_PER_RNK,Government Effectiveness; Percentile Rank - Chile
WWGI/CHL_GE_NO_SRC,Government Effectiveness; Number of Sources - Chile
WWGI/CHL_GE_STD_ERR,Government Effectiveness; Standard Error - Chile
WWGI/CHL_PV_EST,Political Stability and Absence of Violence/Terrorism; Estimate - Chile
WWGI/CHL_PV_NO_SRC,Political Stability and Absence of Violence/Terrorism; Number of Sources - Chile
WWGI/CHL_PV_PER_RNK,Political Stability and Absence of Violence/Terrorism; Percentile Rank - Chile
WWGI/CHL_PV_STD_ERR,Political Stability and Absence of Violence/Terrorism; Standard Error - Chile
WWGI/CHL_RQ_STD_ERR,Regulatory Quality; Standard Error - Chile
WWGI/CHL_RQ_PER_RNK,Regulatory Quality; Percentile Rank - Chile
WWGI/CHL_RL_EST,Rule of Law; Estimate - Chile
WWGI/CHL_RQ_EST,Regulatory Quality; Estimate - Chile
WWGI/CHL_RQ_NO_SRC,Regulatory Quality; Number of Sources - Chile
WWGI/CHL_RL_NO_SRC,Rule of Law; Number of Sources - Chile
WWGI/CHL_RL_PER_RNK,Rule of Law; Percentile Rank - Chile
WWGI/CHL_RL_STD_ERR,Rule of Law; Standard Error - Chile
WWGI/CHL_VA_EST,Voice and Accountability; Estimate - Chile
WWGI/CHL_VA_NO_SRC,Voice and Accountability; Number of Sources - Chile
WWGI/CHL_VA_PER_RNK,Voice and Accountability; Percentile Rank - Chile
WWGI/CHN_CC_EST,Control of Corruption; Estimate - China
WWGI/CHN_CC_NO_SRC,Control of Corruption; Number of Sources - China
WWGI/CHL_VA_STD_ERR,Voice and Accountability; Standard Error - Chile
WWGI/CHN_CC_PER_RNK,Control of Corruption; Percentile Rank - China
WWGI/CHN_CC_STD_ERR,Control of Corruption; Standard Error - China
WWGI/CHN_GE_NO_SRC,Government Effectiveness; Number of Sources - China
WWGI/CHN_GE_EST,Government Effectiveness; Estimate - China
WWGI/CHN_GE_STD_ERR,Government Effectiveness; Standard Error - China
WWGI/CHN_GE_PER_RNK,Government Effectiveness; Percentile Rank - China
WWGI/CHN_PV_NO_SRC,Political Stability and Absence of Violence/Terrorism; Number of Sources - China
WWGI/CHN_PV_EST,Political Stability and Absence of Violence/Terrorism; Estimate - China
WWGI/CHN_PV_STD_ERR,Political Stability and Absence of Violence/Terrorism; Standard Error - China
WWGI/CHN_PV_PER_RNK,Political Stability and Absence of Violence/Terrorism; Percentile Rank - China
WWGI/CHN_RQ_EST,Regulatory Quality; Estimate - China
WWGI/CHN_RQ_NO_SRC,Regulatory Quality; Number of Sources - China
WWGI/CHN_RQ_PER_RNK,Regulatory Quality; Percentile Rank - China
WWGI/CHN_RQ_STD_ERR,Regulatory Quality; Standard Error - China
WWGI/CHN_RL_EST,Rule of Law; Estimate - China
WWGI/CHN_RL_PER_RNK,Rule of Law; Percentile Rank - China
WWGI/CHN_RL_NO_SRC,Rule of Law; Number of Sources - China
WWGI/CHN_RL_STD_ERR,Rule of Law; Standard Error - China
WWGI/CHN_VA_NO_SRC,Voice and Accountability; Number of Sources - China
WWGI/CHN_VA_EST,Voice and Accountability; Estimate - China
WWGI/CHN_VA_PER_RNK,Voice and Accountability; Percentile Rank - China
WWGI/CHN_VA_STD_ERR,Voice and Accountability; Standard Error - China
WWGI/CIV_CC_EST,Control of Corruption; Estimate - Cote d'Ivoire
WWGI/CIV_CC_NO_SRC,Control of Corruption; Number of Sources - Cote d'Ivoire
WWGI/CIV_CC_STD_ERR,Control of Corruption; Standard Error - Cote d'Ivoire
WWGI/CIV_GE_NO_SRC,Government Effectiveness; Number of Sources - Cote d'Ivoire
WWGI/CIV_CC_PER_RNK,Control of Corruption; Percentile Rank - Cote d'Ivoire
WWGI/CIV_GE_EST,Government Effectiveness; Estimate - Cote d'Ivoire
WWGI/CIV_GE_PER_RNK,Government Effectiveness; Percentile Rank - Cote d'Ivoire
WWGI/CIV_GE_STD_ERR,Government Effectiveness; Standard Error - Cote d'Ivoire
WWGI/CIV_PV_EST,Political Stability and Absence of Violence/Terrorism; Estimate - Cote d'Ivoire
WWGI/CIV_PV_NO_SRC,Political Stability and Absence of Violence/Terrorism; Number of Sources - Cote d'Ivoire
WWGI/CIV_RQ_EST,Regulatory Quality; Estimate - Cote d'Ivoire
WWGI/CIV_PV_PER_RNK,Political Stability and Absence of Violence/Terrorism; Percentile Rank - Cote d'Ivoire
WWGI/CIV_PV_STD_ERR,Political Stability and Absence of Violence/Terrorism; Standard Error - Cote d'Ivoire
WWGI/CIV_RQ_NO_SRC,Regulatory Quality; Number of Sources - Cote d'Ivoire
WWGI/CIV_RQ_PER_RNK,Regulatory Quality; Percentile Rank - Cote d'Ivoire
WWGI/CIV_RQ_STD_ERR,Regulatory Quality; Standard Error - Cote d'Ivoire
WWGI/CIV_RL_EST,Rule of Law; Estimate - Cote d'Ivoire
WWGI/CIV_RL_NO_SRC,Rule of Law; Number of Sources - Cote d'Ivoire
WWGI/CIV_RL_PER_RNK,Rule of Law; Percentile Rank - Cote d'Ivoire
WWGI/CIV_RL_STD_ERR,Rule of Law; Standard Error - Cote d'Ivoire
WWGI/CIV_VA_EST,Voice and Accountability; Estimate - Cote d'Ivoire
WWGI/CIV_VA_STD_ERR,Voice and Accountability; Standard Error - Cote d'Ivoire
WWGI/CIV_VA_NO_SRC,Voice and Accountability; Number of Sources - Cote d'Ivoire
WWGI/CIV_VA_PER_RNK,Voice and Accountability; Percentile Rank - Cote d'Ivoire
WWGI/CMR_CC_EST,Control of Corruption; Estimate - Cameroon
WWGI/CMR_CC_PER_RNK,Control of Corruption; Percentile Rank - Cameroon
WWGI/CMR_CC_NO_SRC,Control of Corruption; Number of Sources - Cameroon
WWGI/CMR_CC_STD_ERR,Control of Corruption; Standard Error - Cameroon
WWGI/CMR_GE_NO_SRC,Government Effectiveness; Number of Sources - Cameroon
WWGI/CMR_GE_PER_RNK,Government Effectiveness; Percentile Rank - Cameroon
WWGI/CMR_GE_EST,Government Effectiveness; Estimate - Cameroon
WWGI/CMR_PV_EST,Political Stability and Absence of Violence/Terrorism; Estimate - Cameroon
WWGI/CMR_PV_NO_SRC,Political Stability and Absence of Violence/Terrorism; Number of Sources - Cameroon
WWGI/CMR_GE_STD_ERR,Government Effectiveness; Standard Error - Cameroon
WWGI/CMR_PV_PER_RNK,Political Stability and Absence of Violence/Terrorism; Percentile Rank - Cameroon
WWGI/CMR_PV_STD_ERR,Political Stability and Absence of Violence/Terrorism; Standard Error - Cameroon
WWGI/CMR_RQ_NO_SRC,Regulatory Quality; Number of Sources - Cameroon
WWGI/CMR_RQ_EST,Regulatory Quality; Estimate - Cameroon
WWGI/CMR_RQ_STD_ERR,Regulatory Quality; Standard Error - Cameroon
WWGI/CMR_RL_EST,Rule of Law; Estimate - Cameroon
WWGI/CMR_RQ_PER_RNK,Regulatory Quality; Percentile Rank - Cameroon
WWGI/CMR_RL_NO_SRC,Rule of Law; Number of Sources - Cameroon
WWGI/CMR_RL_PER_RNK,Rule of Law; Percentile Rank - Cameroon
WWGI/CMR_RL_STD_ERR,Rule of Law; Standard Error - Cameroon
WWGI/CMR_VA_EST,Voice and Accountability; Estimate - Cameroon
WWGI/CMR_VA_NO_SRC,Voice and Accountability; Number of Sources - Cameroon
WWGI/CMR_VA_PER_RNK,Voice and Accountability; Percentile Rank - Cameroon
WWGI/CMR_VA_STD_ERR,Voice and Accountability; Standard Error - Cameroon
WWGI/COD_CC_EST,"Control of Corruption; Estimate - Congo, Dem. Rep."
WWGI/COD_CC_PER_RNK,"Control of Corruption; Percentile Rank - Congo, Dem. Rep."
WWGI/COD_CC_NO_SRC,"Control of Corruption; Number of Sources - Congo, Dem. Rep."
WWGI/COD_CC_STD_ERR,"Control of Corruption; Standard Error - Congo, Dem. Rep."
WWGI/COD_GE_EST,"Government Effectiveness; Estimate - Congo, Dem. Rep."
WWGI/COD_GE_NO_SRC,"Government Effectiveness; Number of Sources - Congo, Dem. Rep."
WWGI/COD_GE_PER_RNK,"Government Effectiveness; Percentile Rank - Congo, Dem. Rep."
WWGI/COD_GE_STD_ERR,"Government Effectiveness; Standard Error - Congo, Dem. Rep."
WWGI/COD_PV_EST,"Political Stability and Absence of Violence/Terrorism; Estimate - Congo, Dem. Rep."
WWGI/COD_PV_NO_SRC,"Political Stability and Absence of Violence/Terrorism; Number of Sources - Congo, Dem. Rep."
WWGI/COD_PV_STD_ERR,"Political Stability and Absence of Violence/Terrorism; Standard Error - Congo, Dem. Rep."
WWGI/COD_PV_PER_RNK,"Political Stability and Absence of Violence/Terrorism; Percentile Rank - Congo, Dem. Rep."
WWGI/COD_RQ_PER_RNK,"Regulatory Quality; Percentile Rank - Congo, Dem. Rep."
WWGI/COD_RQ_EST,"Regulatory Quality; Estimate - Congo, Dem. Rep."
WWGI/COD_RQ_NO_SRC,"Regulatory Quality; Number of Sources - Congo, Dem. Rep."
WWGI/COD_RL_EST,"Rule of Law; Estimate - Congo, Dem. Rep."
WWGI/COD_RQ_STD_ERR,"Regulatory Quality; Standard Error - Congo, Dem. Rep."
WWGI/COD_RL_NO_SRC,"Rule of Law; Number of Sources - Congo, Dem. Rep."
WWGI/COD_RL_PER_RNK,"Rule of Law; Percentile Rank - Congo, Dem. Rep."
WWGI/COD_VA_EST,"Voice and Accountability; Estimate - Congo, Dem. Rep."
WWGI/COD_RL_STD_ERR,"Rule of Law; Standard Error - Congo, Dem. Rep."
WWGI/COD_VA_NO_SRC,"Voice and Accountability; Number of Sources - Congo, Dem. Rep."
WWGI/COD_VA_PER_RNK,"Voice and Accountability; Percentile Rank - Congo, Dem. Rep."
WWGI/COD_VA_STD_ERR,"Voice and Accountability; Standard Error - Congo, Dem. Rep."
WWGI/COG_CC_EST,"Control of Corruption; Estimate - Congo, Rep."
WWGI/COG_CC_PER_RNK,"Control of Corruption; Percentile Rank - Congo, Rep."
WWGI/COG_GE_EST,"Government Effectiveness; Estimate - Congo, Rep."
WWGI/COG_CC_NO_SRC,"Control of Corruption; Number of Sources - Congo, Rep."
WWGI/COG_CC_STD_ERR,"Control of Corruption; Standard Error - Congo, Rep."
WWGI/COG_GE_NO_SRC,"Government Effectiveness; Number of Sources - Congo, Rep."
WWGI/COG_GE_STD_ERR,"Government Effectiveness; Standard Error - Congo, Rep."
WWGI/COG_PV_EST,"Political Stability and Absence of Violence/Terrorism; Estimate - Congo, Rep."
WWGI/COG_GE_PER_RNK,"Government Effectiveness; Percentile Rank - Congo, Rep."
WWGI/COG_PV_NO_SRC,"Political Stability and Absence of Violence/Terrorism; Number of Sources - Congo, Rep."
WWGI/COG_PV_STD_ERR,"Political Stability and Absence of Violence/Terrorism; Standard Error - Congo, Rep."
WWGI/COG_PV_PER_RNK,"Political Stability and Absence of Violence/Terrorism; Percentile Rank - Congo, Rep."
WWGI/COG_RQ_EST,"Regulatory Quality; Estimate - Congo, Rep."
WWGI/COG_RQ_NO_SRC,"Regulatory Quality; Number of Sources - Congo, Rep."
WWGI/COG_RQ_PER_RNK,"Regulatory Quality; Percentile Rank - Congo, Rep."
WWGI/COG_RQ_STD_ERR,"Regulatory Quality; Standard Error - Congo, Rep."
WWGI/COG_RL_EST,"Rule of Law; Estimate - Congo, Rep."
WWGI/COG_RL_NO_SRC,"Rule of Law; Number of Sources - Congo, Rep."
WWGI/COG_RL_PER_RNK,"Rule of Law; Percentile Rank - Congo, Rep."
WWGI/COG_RL_STD_ERR,"Rule of Law; Standard Error - Congo, Rep."
WWGI/COG_VA_NO_SRC,"Voice and Accountability; Number of Sources - Congo, Rep."
WWGI/COG_VA_EST,"Voice and Accountability; Estimate - Congo, Rep."
WWGI/COL_CC_EST,Control of Corruption; Estimate - Colombia
WWGI/COG_VA_PER_RNK,"Voice and Accountability; Percentile Rank - Congo, Rep."
WWGI/COG_VA_STD_ERR,"Voice and Accountability; Standard Error - Congo, Rep."
WWGI/COL_CC_NO_SRC,Control of Corruption; Number of Sources - Colombia
WWGI/COL_CC_PER_RNK,Control of Corruption; Percentile Rank - Colombia
WWGI/COL_CC_STD_ERR,Control of Corruption; Standard Error - Colombia
WWGI/COL_GE_NO_SRC,Government Effectiveness; Number of Sources - Colombia
WWGI/COL_GE_EST,Government Effectiveness; Estimate - Colombia
WWGI/COL_PV_EST,Political Stability and Absence of Violence/Terrorism; Estimate - Colombia
WWGI/COL_GE_PER_RNK,Government Effectiveness; Percentile Rank - Colombia
WWGI/COL_PV_NO_SRC,Political Stability and Absence of Violence/Terrorism; Number of Sources - Colombia
WWGI/COL_PV_PER_RNK,Political Stability and Absence of Violence/Terrorism; Percentile Rank - Colombia
WWGI/COL_GE_STD_ERR,Government Effectiveness; Standard Error - Colombia
WWGI/COL_PV_STD_ERR,Political Stability and Absence of Violence/Terrorism; Standard Error - Colombia
WWGI/COL_RQ_NO_SRC,Regulatory Quality; Number of Sources - Colombia
WWGI/COL_RQ_PER_RNK,Regulatory Quality; Percentile Rank - Colombia
WWGI/COL_RQ_EST,Regulatory Quality; Estimate - Colombia
WWGI/COL_RQ_STD_ERR,Regulatory Quality; Standard Error - Colombia
WWGI/COL_RL_EST,Rule of Law; Estimate - Colombia
WWGI/COL_RL_NO_SRC,Rule of Law; Number of Sources - Colombia
WWGI/COL_RL_PER_RNK,Rule of Law; Percentile Rank - Colombia
WWGI/COL_RL_STD_ERR,Rule of Law; Standard Error - Colombia
WWGI/COL_VA_EST,Voice and Accountability; Estimate - Colombia
WWGI/COL_VA_NO_SRC,Voice and Accountability; Number of Sources - Colombia
WWGI/COL_VA_PER_RNK,Voice and Accountability; Percentile Rank - Colombia
WWGI/COL_VA_STD_ERR,Voice and Accountability; Standard Error - Colombia
WWGI/COM_CC_EST,Control of Corruption; Estimate - Comoros
WWGI/COM_CC_NO_SRC,Control of Corruption; Number of Sources - Comoros
WWGI/COM_CC_PER_RNK,Control of Corruption; Percentile Rank - Comoros
WWGI/COM_CC_STD_ERR,Control of Corruption; Standard Error - Comoros
WWGI/COM_GE_EST,Government Effectiveness; Estimate - Comoros
WWGI/COM_GE_NO_SRC,Government Effectiveness; Number of Sources - Comoros
WWGI/COM_GE_PER_RNK,Government Effectiveness; Percentile Rank - Comoros
WWGI/COM_GE_STD_ERR,Government Effectiveness; Standard Error - Comoros
WWGI/COM_PV_EST,Political Stability and Absence of Violence/Terrorism; Estimate - Comoros
WWGI/COM_PV_NO_SRC,Political Stability and Absence of Violence/Terrorism; Number of Sources - Comoros
WWGI/COM_PV_PER_RNK,Political Stability and Absence of Violence/Terrorism; Percentile Rank - Comoros
WWGI/COM_PV_STD_ERR,Political Stability and Absence of Violence/Terrorism; Standard Error - Comoros
WWGI/COM_RQ_NO_SRC,Regulatory Quality; Number of Sources - Comoros
WWGI/COM_RQ_EST,Regulatory Quality; Estimate - Comoros
WWGI/COM_RQ_PER_RNK,Regulatory Quality; Percentile Rank - Comoros
WWGI/COM_RL_EST,Rule of Law; Estimate - Comoros
WWGI/COM_RL_PER_RNK,Rule of Law; Percentile Rank - Comoros
WWGI/COM_RL_NO_SRC,Rule of Law; Number of Sources - Comoros
WWGI/COM_VA_EST,Voice and Accountability; Estimate - Comoros
WWGI/COM_RL_STD_ERR,Rule of Law; Standard Error - Comoros
WWGI/COM_VA_NO_SRC,Voice and Accountability; Number of Sources - Comoros
WWGI/COM_VA_PER_RNK,Voice and Accountability; Percentile Rank - Comoros
WWGI/COM_VA_STD_ERR,Voice and Accountability; Standard Error - Comoros
WWGI/CPV_CC_STD_ERR,Control of Corruption; Standard Error - Cabo Verde
WWGI/CPV_CC_EST,Control of Corruption; Estimate - Cabo Verde
WWGI/CPV_CC_NO_SRC,Control of Corruption; Number of Sources - Cabo Verde
WWGI/CPV_CC_PER_RNK,Control of Corruption; Percentile Rank - Cabo Verde
WWGI/CPV_GE_EST,Government Effectiveness; Estimate - Cabo Verde
WWGI/CPV_GE_NO_SRC,Government Effectiveness; Number of Sources - Cabo Verde
WWGI/CPV_GE_PER_RNK,Government Effectiveness; Percentile Rank - Cabo Verde
WWGI/CPV_GE_STD_ERR,Government Effectiveness; Standard Error - Cabo Verde
WWGI/COM_RQ_STD_ERR,Regulatory Quality; Standard Error - Comoros
WWGI/CPV_PV_EST,Political Stability and Absence of Violence/Terrorism; Estimate - Cabo Verde
WWGI/CPV_PV_NO_SRC,Political Stability and Absence of Violence/Terrorism; Number of Sources - Cabo Verde
WWGI/CPV_PV_PER_RNK,Political Stability and Absence of Violence/Terrorism; Percentile Rank - Cabo Verde
WWGI/CPV_PV_STD_ERR,Political Stability and Absence of Violence/Terrorism; Standard Error - Cabo Verde
WWGI/CPV_RQ_EST,Regulatory Quality; Estimate - Cabo Verde
WWGI/CPV_RQ_PER_RNK,Regulatory Quality; Percentile Rank - Cabo Verde
WWGI/CPV_RQ_NO_SRC,Regulatory Quality; Number of Sources - Cabo Verde
WWGI/CPV_RQ_STD_ERR,Regulatory Quality; Standard Error - Cabo Verde
WWGI/CPV_RL_EST,Rule of Law; Estimate - Cabo Verde
WWGI/CPV_RL_PER_RNK,Rule of Law; Percentile Rank - Cabo Verde
WWGI/CPV_RL_NO_SRC,Rule of Law; Number of Sources - Cabo Verde
WWGI/CPV_RL_STD_ERR,Rule of Law; Standard Error - Cabo Verde
WWGI/CPV_VA_NO_SRC,Voice and Accountability; Number of Sources - Cabo Verde
WWGI/CPV_VA_PER_RNK,Voice and Accountability; Percentile Rank - Cabo Verde
WWGI/CRI_CC_EST,Control of Corruption; Estimate - Costa Rica
WWGI/CRI_CC_NO_SRC,Control of Corruption; Number of Sources - Costa Rica
WWGI/CPV_VA_STD_ERR,Voice and Accountability; Standard Error - Cabo Verde
WWGI/CPV_VA_EST,Voice and Accountability; Estimate - Cabo Verde
WWGI/CRI_CC_PER_RNK,Control of Corruption; Percentile Rank - Costa Rica
WWGI/CRI_GE_EST,Government Effectiveness; Estimate - Costa Rica
WWGI/CRI_CC_STD_ERR,Control of Corruption; Standard Error - Costa Rica
WWGI/CRI_GE_NO_SRC,Government Effectiveness; Number of Sources - Costa Rica
WWGI/CRI_GE_PER_RNK,Government Effectiveness; Percentile Rank - Costa Rica
WWGI/CRI_GE_STD_ERR,Government Effectiveness; Standard Error - Costa Rica
WWGI/CRI_PV_NO_SRC,Political Stability and Absence of Violence/Terrorism; Number of Sources - Costa Rica
WWGI/CRI_PV_EST,Political Stability and Absence of Violence/Terrorism; Estimate - Costa Rica
WWGI/CRI_PV_PER_RNK,Political Stability and Absence of Violence/Terrorism; Percentile Rank - Costa Rica
WWGI/CRI_RQ_EST,Regulatory Quality; Estimate - Costa Rica
WWGI/CRI_PV_STD_ERR,Political Stability and Absence of Violence/Terrorism; Standard Error - Costa Rica
WWGI/CRI_RQ_STD_ERR,Regulatory Quality; Standard Error - Costa Rica
WWGI/CRI_RQ_PER_RNK,Regulatory Quality; Percentile Rank - Costa Rica
WWGI/CRI_RL_EST,Rule of Law; Estimate - Costa Rica
WWGI/CRI_RL_NO_SRC,Rule of Law; Number of Sources - Costa Rica
WWGI/CRI_RL_STD_ERR,Rule of Law; Standard Error - Costa Rica
WWGI/CRI_RL_PER_RNK,Rule of Law; Percentile Rank - Costa Rica
WWGI/CRI_VA_EST,Voice and Accountability; Estimate - Costa Rica
WWGI/CRI_VA_NO_SRC,Voice and Accountability; Number of Sources - Costa Rica
WWGI/CRI_VA_PER_RNK,Voice and Accountability; Percentile Rank - Costa Rica
WWGI/CRI_VA_STD_ERR,Voice and Accountability; Standard Error - Costa Rica
WWGI/CRI_RQ_NO_SRC,Regulatory Quality; Number of Sources - Costa Rica
WWGI/CUB_CC_EST,Control of Corruption; Estimate - Cuba
WWGI/CUB_CC_PER_RNK,Control of Corruption; Percentile Rank - Cuba
WWGI/CUB_CC_STD_ERR,Control of Corruption; Standard Error - Cuba
WWGI/CUB_CC_NO_SRC,Control of Corruption; Number of Sources - Cuba
WWGI/CUB_GE_EST,Government Effectiveness; Estimate - Cuba
WWGI/CUB_GE_NO_SRC,Government Effectiveness; Number of Sources - Cuba
WWGI/CUB_GE_PER_RNK,Government Effectiveness; Percentile Rank - Cuba
WWGI/CUB_PV_EST,Political Stability and Absence of Violence/Terrorism; Estimate - Cuba
WWGI/CUB_GE_STD_ERR,Government Effectiveness; Standard Error - Cuba
WWGI/CUB_PV_NO_SRC,Political Stability and Absence of Violence/Terrorism; Number of Sources - Cuba
WWGI/CUB_PV_STD_ERR,Political Stability and Absence of Violence/Terrorism; Standard Error - Cuba
WWGI/CUB_PV_PER_RNK,Political Stability and Absence of Violence/Terrorism; Percentile Rank - Cuba
WWGI/CUB_RQ_NO_SRC,Regulatory Quality; Number of Sources - Cuba
WWGI/CUB_RQ_PER_RNK,Regulatory Quality; Percentile Rank - Cuba
WWGI/CUB_RQ_STD_ERR,Regulatory Quality; Standard Error - Cuba
WWGI/CUB_RQ_EST,Regulatory Quality; Estimate - Cuba
WWGI/CUB_RL_EST,Rule of Law; Estimate - Cuba
WWGI/CUB_VA_EST,Voice and Accountability; Estimate - Cuba
WWGI/CUB_VA_NO_SRC,Voice and Accountability; Number of Sources - Cuba
WWGI/CUB_RL_NO_SRC,Rule of Law; Number of Sources - Cuba
WWGI/CUB_RL_STD_ERR,Rule of Law; Standard Error - Cuba
WWGI/CUB_RL_PER_RNK,Rule of Law; Percentile Rank - Cuba
WWGI/CUB_VA_PER_RNK,Voice and Accountability; Percentile Rank - Cuba
